FID_1,FID_1_1,FID_1_1_1,FID_1_1__1,CID,OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,Shape_Leng,Shape_Area,OBJECTID_1,musym_1,muname,mustatus,slopegradd,slopegradw,brockdepmi,wtdepannmi,wtdepaprju,flodfreqdc,flodfreqma,pondfreqpr,aws025wta,aws050wta,aws0100wta,aws0150wta,drclassdcd,drclasswet,hydgrpdcd,iccdcd,iccdcdpct,niccdcd,niccdcdpct,engdwobdcd,engdwbdcd,engdwbll,engdwbml,engstafdcd,engstafll,engstafml,engsldcd,engsldcp,englrsdcd,engcmssdcd,engcmssmp,urbrecptdc,urbrecptwt,forpehrtdc,hydclprs,awmmfpwwta,mukey_1,FID_2,NAME,ABBREV,GNIS_ID,POP1990,POP2000,POP2010,NYC,SP_ZONE,DOS_LL,DOSLL_DATE,DATEMOD,COUNTYFIPS,SWIS,CALC_SqMi,FID_3,OBJECTID_2,REGION,SHAPE_AR_1,SHAPE_LEN,FID_4,OBJECTID_3,MAJOR,MINOR,MAJORCOLOR,MINOR_NUM,MINOR_DESC,AREA,LEN,SHAPE_AR_2,SHAPE_LE_1
192,10,848,521,0,755456,NY001,4.00000000000,BuB,288697,46963.44045330000,3966788.23634999990,5161,BuB,"Burdett silt loam, 3 to 8 percent slopes",,5.00000000000,5.00000000000,0,31,31,None,None,0,4.40000000000,7.55000000000,13.05000000000,18.55000000000,Somewhat poorly drained,Somewhat poorly drained,C/D,,100,3,85,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.99800000000,Moderate,10,1.00000000000,288697,0,Albany,ALBA,974099,292594,294565,304204,N,East,,,2016/11/15,001,010000,532.85936021800,3,4,4,16136191859.89999961853,693300.06469599996,0,40,ZONE C MOHAWK VALLEY,C01 MOHAWK VALLEY,ZONE C,C01,MOHAWK VALLEY,0.00000000,0.00000000,4503240069.68999958038,477423.64573799999
234,569,346,123,0,713021,NY077,5.00000000000,Ra,294277,3029.49671496000,140710.66160399999,4839,Ra,Raynham silt loam,,2.00000000000,2.00000000000,0,31,31,None,None,0,5.23000000000,10.23000000000,19.84000000000,29.34000000000,Somewhat poorly drained,Somewhat poorly drained,C/D,,100,3,80,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.99800000000,Slight,8,1.00000000000,294277,36,Otsego,OTSE,974137,60517,61676,62259,N,East,,,2017/06/28,077,360000,1015.22972926000,3,4,4,16136191859.89999961853,693300.06469599996,0,40,ZONE C MOHAWK VALLEY,C01 MOHAWK VALLEY,ZONE C,C01,MOHAWK VALLEY,0.00000000,0.00000000,4503240069.68999958038,477423.64573799999
238,573,835,563,0,691481,NY077,5.00000000000,LeC,294230,3663.90947542000,156065.07135799999,4886,LeC,"Lansing silt loam, 8 to 15 percent slopes",,11.00000000000,11.00000000000,0,0,0,None,None,0,4.17000000000,7.90000000000,14.95000000000,20.41000000000,Well drained,Well drained,B,,100,3,90,Somewhat limited,Somewhat limited,Somewhat limited,Very limited,Somewhat limited,Somewhat limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Poor,Somewhat limited,0.06500000000,Severe,0,0.46000000000,294230,36,Otsego,OTSE,974137,60517,61676,62259,N,East,,,2017/06/28,077,360000,1015.22972926000,3,4,4,16136191859.89999961853,693300.06469599996,0,40,ZONE C MOHAWK VALLEY,C01 MOHAWK VALLEY,ZONE C,C01,MOHAWK VALLEY,0.00000000,0.00000000,4503240069.68999958038,477423.64573799999
250,638,808,672,0,600604,NY093,8.00000000000,NuD,309631,2697.25413919000,66460.81795300001,4060,NuD,"Nunda channery silt loam, 15 to 25 percent slopes",,20.00000000000,20.00000000000,0,38,38,None,None,0,3.82000000000,7.82000000000,14.02000000000,19.52000000000,Moderately well drained,Moderately well drained,C/D,,100,4,75,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Somewhat limited,0.85800000000,Severe,0,1.00000000000,309631,43,Schenectady,SCHE,974144,149285,146555,154727,N,East,,,2016/04/27,093,420000,209.52307287700,3,4,4,16136191859.89999961853,693300.06469599996,0,40,ZONE C MOHAWK VALLEY,C01 MOHAWK VALLEY,ZONE C,C01,MOHAWK VALLEY,0.00000000,0.00000000,4503240069.68999958038,477423.64573799999
252,640,839,683,0,727265,NY095,7.00000000000,TaB,294551,4051.15821551000,175016.66476600000,5016,TaB,"Tuller and Allis silt loams, 0 to 8 percent slopes",,4.00000000000,4.00000000000,38,0,0,None,None,0,4.32000000000,6.16000000000,6.73000000000,6.73000000000,Somewhat poorly drained,Poorly drained,D,,100,3,40,Very limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Very limited,Poor,Not rated,Very limited,1.00000000000,Moderate,40,1.00000000000,294551,44,Schoharie,SCHO,974145,31859,31582,32749,N,East,,,2015/05/13,095,430000,626.22122624000,3,4,4,16136191859.89999961853,693300.06469599996,0,40,ZONE C MOHAWK VALLEY,C01 MOHAWK VALLEY,ZONE C,C01,MOHAWK VALLEY,0.00000000,0.00000000,4503240069.68999958038,477423.64573799999
253,641,840,688,0,731901,NY095,7.00000000000,IlA,294486,2153.82262725000,57074.57040800000,4953,IlA,"Ilion and Lyons soils, 0 to 3 percent slopes",,2.00000000000,1.50000000000,0,0,0,None,None,58,4.81000000000,8.88000000000,15.84000000000,21.46000000000,Poorly drained,Very poorly drained,C/D,,100,5,53,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Poor,Very limited,1.00000000000,Slight,93,1.00000000000,294486,44,Schoharie,SCHO,974145,31859,31582,32749,N,East,,,2015/05/13,095,430000,626.22122624000,3,4,4,16136191859.89999961853,693300.06469599996,0,40,ZONE C MOHAWK VALLEY,C01 MOHAWK VALLEY,ZONE C,C01,MOHAWK VALLEY,0.00000000,0.00000000,4503240069.68999958038,477423.64573799999
334,252,734,555,0,377812,NY035,7.00000000000,95B,319969,1549.27104972000,78684.14567180000,2518,95B,"Woodbridge loam, 3 to 8 percent slopes",,6.00000000000,5.90000000000,0,46,46,None,None,0,4.41000000000,8.32000000000,14.90000000000,20.83000000000,Moderately well drained,Moderately well drained,C/D,,100,2,93,Somewhat limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Somewhat limited,Poor,Fair,Somewhat limited,0.44100000000,Moderate,7,1.00000000000,319969,17,Fulton,FULT,974116,54191,55073,55531,N,East,,,2017/01/27,035,170000,532.57712481600,4,5,5,24704781504.79999923706,948914.60161000001,0,40,ZONE C MOHAWK VALLEY,C01 MOHAWK VALLEY,ZONE C,C01,MOHAWK VALLEY,0.00000000,0.00000000,4503240069.68999958038,477423.64573799999
448,634,746,982,0,391504,NY091,6.00000000000,GaB,294377,7057.53193493000,698625.98224899999,2633,GaB,"Galway loam, 3 to 8 percent slopes",,6.00000000000,6.00000000000,76,71,71,None,None,0,4.10000000000,7.60000000000,11.24000000000,11.24000000000,Moderately well drained,Moderately well drained,C,,100,2,65,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.00600000000,Moderate,0,0.93200000000,294377,42,Saratoga,SARA,974143,181276,200635,219607,N,East,,,2016/11/15,091,410000,843.59404129400,4,5,5,24704781504.79999923706,948914.60161000001,0,40,ZONE C MOHAWK VALLEY,C01 MOHAWK VALLEY,ZONE C,C01,MOHAWK VALLEY,0.00000000,0.00000000,4503240069.68999958038,477423.64573799999
482,374,242,444,0,353960,NY615,4.00000000000,HrE,292056,1022.08819789000,23158.16104620000,2291,HrE,"Honeoye and Lansing soils, 25 to 35 percent slopes",,30.00000000000,29.50000000000,0,0,0,None,None,0,4.03000000000,7.65000000000,14.12000000000,19.53000000000,Well drained,Well drained,C,,100,6,50,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Very limited,Poor,Fair,Very limited,1.00000000000,Severe,0,1.00000000000,292056,21,Herkimer,HERK,974120,65797,64427,64519,N,East,,,2017/06/28,043,210000,1456.37063638000,5,6,6,20846331775.90000152588,1517581.45282000001,0,40,ZONE C MOHAWK VALLEY,C01 MOHAWK VALLEY,ZONE C,C01,MOHAWK VALLEY,0.00000000,0.00000000,4503240069.68999958038,477423.64573799999
483,375,243,124,0,370677,NY615,4.00000000000,LoB,292080,899.37217258500,28885.95785710000,2315,LoB,"Lima silt loam, 3 to 8 percent slopes",,6.00000000000,6.00000000000,0,54,54,None,None,0,3.94000000000,7.19000000000,13.06000000000,18.06000000000,Moderately well drained,Moderately well drained,C/D,,100,2,75,Somewhat limited,Very limited,Not rated,Very limited,Very limited,Not rated,Very limited,Very limited,Very limited,Somewhat limited,Poor,Not rated,Somewhat limited,0.08000000000,Moderate,0,1.00000000000,292080,21,Herkimer,HERK,974120,65797,64427,64519,N,East,,,2017/06/28,043,210000,1456.37063638000,5,6,6,20846331775.90000152588,1517581.45282000001,0,40,ZONE C MOHAWK VALLEY,C01 MOHAWK VALLEY,ZONE C,C01,MOHAWK VALLEY,0.00000000,0.00000000,4503240069.68999958038,477423.64573799999
